         161612884 function calls (161609367 primitive calls) in 197.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7898    0.077    0.000    0.354    0.000 C:\Python39\lib\zipfile.py:735(read)
     7534    0.099    0.000    0.345    0.000 {built-in method builtins.min}
   416681    0.344    0.000    0.344    0.000 {built-in method builtins.round}
    85806    0.140    0.000    0.321    0.000 C:\Python39\lib\site-packages\openpyxl\xml\functions.py:75(localname)
        7    0.003    0.000    0.310    0.044 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:203(read_worksheets)
       30    0.001    0.000    0.296    0.010 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:303(_concatenate_join_units)
      140    0.001    0.000    0.287    0.002 C:\Python39\lib\site-packages\openpyxl\worksheet\_read_only.py:34(__init__)
      140    0.001    0.000    0.286    0.002 C:\Python39\lib\site-packages\openpyxl\worksheet\_read_only.py:44(_get_size)
1758225/1757917    0.278    0.000    0.278    0.000 {built-in method builtins.len}
      140    0.002    0.000    0.263    0.002 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:160(parse_dimensions)
  1017049    0.248    0.000    0.248    0.000 {method 'append' of 'list' objects}
   416695    0.182    0.000    0.246    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:560(<genexpr>)
       21    0.240    0.011    0.240    0.011 {pandas._libs.parsers.sanitize_objects}
       14    0.000    0.000    0.231    0.016 C:\Python39\lib\site-packages\pandas\core\frame.py:502(__init__)
        7    0.000    0.000    0.230    0.033 C:\Python39\lib\site-packages\pandas\core\internals\construction.py:241(init_dict)
        7    0.000    0.000    0.228    0.033 C:\Python39\lib\site-packages\pandas\core\reshape\concat.py:306(__init__)
       21    0.000    0.000    0.224    0.011 C:\Python39\lib\site-packages\pandas\core\generic.py:5534(_consolidate_inplace)
       21    0.000    0.000    0.224    0.011 C:\Python39\lib\site-packages\pandas\core\generic.py:5522(_protect_consolidate)
       21    0.000    0.000    0.223    0.011 C:\Python39\lib\site-packages\pandas\core\generic.py:5538(f)
   416688    0.161    0.000    0.221    0.000 C:\Python39\lib\site-packages\pandas\io\parsers.py:3145(<genexpr>)
        7    0.000    0.000    0.213    0.030 C:\Python39\lib\site-packages\pandas\core\internals\construction.py:62(arrays_to_mgr)
   416695    0.150    0.000    0.205    0.000 C:\Python39\lib\site-packages\pandas\io\excel\_openpyxl.py:559(<genexpr>)
     7947    0.197    0.000    0.197    0.000 {method 'read' of '_io.BufferedReader' objects}
    72/60    0.194    0.003    0.194    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
       54    0.000    0.000    0.194    0.004 <__array_function__ internals>:2(concatenate)
   252539    0.132    0.000    0.192    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:229(__get__)
        7    0.179    0.026    0.179    0.026 {pandas._libs.lib.to_object_array}
       21    0.000    0.000    0.176    0.008 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:975(consolidate)
       13    0.000    0.000    0.176    0.014 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:991(_consolidate_inplace)
        6    0.000    0.000    0.175    0.029 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1906(_consolidate)
       18    0.110    0.006    0.174    0.010 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1923(_merge_blocks)
       30    0.000    0.000    0.160    0.005 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:313(<listcomp>)
       60    0.001    0.000    0.160    0.003 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:231(get_reindexed_values)
       52    0.002    0.000    0.158    0.003 C:\Python39\lib\site-packages\pandas\core\algorithms.py:1661(take_nd)
       91    0.001    0.000    0.158    0.002 C:\Python39\lib\site-packages\pandas\core\construction.py:423(sanitize_array)
        7    0.001    0.000    0.157    0.022 C:\Python39\lib\site-packages\pandas\core\internals\construction.py:333(_homogenize)
   352842    0.148    0.000    0.148    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
        7    0.000    0.000    0.143    0.020 C:\Python39\lib\site-packages\openpyxl\styles\stylesheet.py:188(apply_stylesheet)
       42    0.001    0.000    0.139    0.003 C:\Python39\lib\site-packages\pandas\core\dtypes\concat.py:101(concat_compat)
        7    0.000    0.000    0.127    0.018 C:\Python39\lib\site-packages\openpyxl\styles\stylesheet.py:97(from_tree)
    85960    0.120    0.000    0.120    0.000 {method 'match' of 're.Pattern' objects}
       91    0.001    0.000    0.111    0.001 C:\Python39\lib\site-packages\pandas\core\construction.py:554(_try_cast)
       63    0.001    0.000    0.108    0.002 C:\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1379(maybe_cast_to_datetime)
       49    0.000    0.000    0.107    0.002 C:\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1273(maybe_infer_to_datetimelike)
   377533    0.094    0.000    0.094    0.000 {built-in method builtins.getattr}
       38    0.089    0.002    0.089    0.002 {pandas._libs.algos.take_2d_axis0_object_object}
        7    0.000    0.000    0.069    0.010 C:\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1315(try_datetime)
        7    0.068    0.010    0.068    0.010 {built-in method pandas._libs.tslib.array_to_datetime}
    91973    0.050    0.000    0.067    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:49(_convert)
        6    0.000    0.000    0.062    0.010 <__array_function__ internals>:2(vstack)
        6    0.000    0.000    0.062    0.010 C:\Python39\lib\site-packages\numpy\core\shape_base.py:223(vstack)
      101    0.005    0.000    0.061    0.001 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:202(_isna_ndarraylike)
   174656    0.060    0.000    0.060    0.000 {built-in method builtins.hasattr}
      176    0.058    0.000    0.058    0.000 {built-in method numpy.empty}
       84    0.001    0.000    0.057    0.001 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:209(is_na)
       70    0.002    0.000    0.056    0.001 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:619(isna_all)
       38    0.000    0.000    0.053    0.001 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:638(<lambda>)
        7    0.000    0.000    0.052    0.007 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1690(create_block_manager_from_arrays)
     8108    0.051    0.000    0.051    0.000 {method 'tell' of '_io.BufferedReader' objects}
        7    0.001    0.000    0.051    0.007 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1733(_form_blocks)
       45    0.001    0.000    0.050    0.001 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:244(_isna_string_dtype)
       45    0.048    0.001    0.048    0.001 {built-in method pandas._libs.missing.isnaobj}
       42    0.047    0.001    0.047    0.001 C:\Python39\lib\site-packages\pandas\core\generic.py:5467(__setattr__)
       35    0.042    0.001    0.043    0.001 {pandas._libs.lib.infer_dtype}
   168812    0.042    0.000    0.042    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\sequence.py:26(<listcomp>)
    85806    0.042    0.000    0.042    0.000 {method 'group' of 're.Match' objects}
       28    0.033    0.001    0.040    0.001 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1860(_stack_arrays)
        7    0.000    0.000    0.039    0.006 C:\Python39\lib\site-packages\openpyxl\styles\stylesheet.py:56(__init__)
       21    0.036    0.002    0.036    0.002 {pandas._libs.lib.infer_datetimelike_array}
      427    0.001    0.000    0.036    0.000 C:\Python39\lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
        7    0.000    0.000    0.035    0.005 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:147(read_workbook)
       30    0.001    0.000    0.034    0.001 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:348(_get_empty_dtype_and_na)
        7    0.001    0.000    0.034    0.005 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:188(_to_array)
       30    0.001    0.000    0.031    0.001 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:425(_get_upcast_classes)
       42    0.000    0.000    0.031    0.001 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:476(_is_uniform_join_units)
       76    0.000    0.000    0.030    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:491(<genexpr>)
    84203    0.030    0.000    0.030    0.000 {method 'replace' of 'str' objects}
     5082    0.008    0.000    0.029    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:160(__set__)
       42    0.000    0.000    0.029    0.001 C:\Python39\lib\site-packages\openpyxl\descriptors\sequence.py:84(from_tree)
    83944    0.029    0.000    0.029    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\nested.py:64(from_tree)
       42    0.000    0.000    0.029    0.001 C:\Python39\lib\site-packages\openpyxl\descriptors\sequence.py:85(<listcomp>)
      371    0.003    0.000    0.026    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:93(__init__)
        7    0.000    0.000    0.025    0.004 C:\Python39\lib\site-packages\openpyxl\reader\workbook.py:31(__init__)
        7    0.000    0.000    0.025    0.004 C:\Python39\lib\site-packages\openpyxl\workbook\workbook.py:58(__init__)
       14    0.000    0.000    0.024    0.002 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1829(_simple_blockify)
    84105    0.023    0.000    0.023    0.000 {method 'join' of 'str' objects}
      196    0.004    0.000    0.022    0.000 C:\Python39\lib\zipfile.py:1466(open)
  868/756    0.005    0.000    0.022    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
    85813    0.022    0.000    0.022    0.000 {built-in method builtins.callable}
       14    0.000    0.000    0.022    0.002 C:\Python39\lib\site-packages\pandas\core\internals\managers.py:1844(_multi_blockify)
      147    0.000    0.000    0.021    0.000 C:\Python39\lib\site-packages\openpyxl\styles\fonts.py:101(from_tree)
1785/1211    0.012    0.000    0.020    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
      427    0.001    0.000    0.019    0.000 C:\Python39\lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
     7975    0.018    0.000    0.018    0.000 {method 'seek' of '_io.BufferedReader' objects}
       14    0.000    0.000    0.018    0.001 C:\Python39\lib\zipfile.py:1206(__init__)
      147    0.001    0.000    0.017    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_read_only.py:53(_get_source)
       14    0.007    0.000    0.017    0.001 C:\Python39\lib\zipfile.py:1316(_RealGetContents)
      287    0.002    0.000    0.016    0.000 C:\Python39\lib\site-packages\openpyxl\styles\alignment.py:45(__init__)
      147    0.002    0.000    0.016    0.000 C:\Python39\lib\site-packages\openpyxl\styles\fonts.py:69(__init__)
     4312    0.006    0.000    0.015    0.000 C:\Python39\lib\site-packages\openpyxl\styles\alignment.py:68(__iter__)
      147    0.001    0.000    0.014    0.000 C:\Python39\lib\site-packages\openpyxl\reader\workbook.py:77(find_sheets)
        7    0.000    0.000    0.014    0.002 C:\Python39\lib\site-packages\openpyxl\workbook\workbook.py:90(_setup_styles)
    21/14    0.001    0.000    0.014    0.001 C:\Python39\lib\site-packages\pandas\core\series.py:238(__init__)
        7    0.000    0.000    0.013    0.002 C:\Python39\lib\site-packages\pandas\io\excel\_base.py:908(inspect_excel_format)
      140    0.000    0.000    0.013    0.000 C:\Python39\lib\site-packages\openpyxl\reader\workbook.py:39(rels)
      154    0.001    0.000    0.013    0.000 C:\Python39\lib\xml\etree\ElementTree.py:1233(iterparse)
        7    0.001    0.000    0.012    0.002 C:\Python39\lib\site-packages\openpyxl\packaging\relationship.py:124(get_dependents)
        7    0.000    0.000    0.012    0.002 C:\Python39\lib\site-packages\pandas\core\dtypes\concat.py:349(_concat_datetime)
      237    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       90    0.001    0.000    0.012    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:2721(make_block)
        7    0.000    0.000    0.011    0.002 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:133(read_manifest)
      167    0.002    0.000    0.011    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:2672(get_block_type)
       96    0.000    0.000    0.011    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:5836(ensure_index)
       14    0.010    0.001    0.010    0.001 {pandas._libs.algos.take_2d_axis0_int64_int64}
      119    0.001    0.000    0.010    0.000 C:\Python39\lib\site-packages\openpyxl\utils\indexed_list.py:14(__init__)
        7    0.000    0.000    0.010    0.001 C:\Python39\lib\site-packages\openpyxl\reader\workbook.py:46(parse)
       77    0.000    0.000    0.010    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:50(isna)
        7    0.000    0.000    0.010    0.001 C:\Python39\lib\site-packages\pandas\core\arrays\datetimelike.py:386(_concat_same_type)
       77    0.001    0.000    0.010    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\missing.py:133(_isna)
       56    0.000    0.000    0.010    0.000 {method 'sum' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.010    0.001 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:122(__init__)
        7    0.000    0.000    0.009    0.001 C:\Python39\lib\site-packages\pandas\core\arrays\_mixins.py:173(_concat_same_type)
        7    0.000    0.000    0.009    0.001 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:67(_validate_archive)
       42    0.000    0.000    0.009    0.000 C:\Python39\lib\zipfile.py:1461(read)
       56    0.000    0.000    0.009    0.000 C:\Python39\lib\site-packages\numpy\core\_methods.py:45(_sum)
    49/21    0.002    0.000    0.009    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:250(__new__)
       35    0.001    0.000    0.009    0.000 C:\Python39\lib\xml\etree\ElementTree.py:1334(XML)
     3423    0.004    0.000    0.008    0.000 C:\Python39\lib\site-packages\openpyxl\compat\strings.py:12(safe_string)
     7898    0.008    0.000    0.008    0.000 C:\Python39\lib\zipfile.py:1515(<lambda>)
     1057    0.002    0.000    0.008    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:102(__set__)
     1294    0.002    0.000    0.008    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\base.py:254(is_dtype)
      154    0.001    0.000    0.008    0.000 {built-in method builtins.__build_class__}
        7    0.000    0.000    0.008    0.001 C:\Python39\lib\site-packages\openpyxl\worksheet\worksheet.py:96(__init__)
       35    0.008    0.000    0.008    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.008    0.001 C:\Python39\lib\site-packages\pandas\core\series.py:372(_init_dict)
      154    0.001    0.000    0.007    0.000 C:\Python39\lib\abc.py:84(__new__)
       14    0.000    0.000    0.006    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:106(bind)
       14    0.000    0.000    0.006    0.000 C:\Python39\lib\site-packages\pandas\io\common.py:491(get_handle)
       14    0.000    0.000    0.006    0.000 C:\Python39\lib\site-packages\openpyxl\styles\named_styles.py:114(_recalculate)
     1090    0.003    0.000    0.006    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1470(is_extension_array_dtype)
        7    0.000    0.000    0.006    0.001 C:\Python39\lib\site-packages\pandas\core\construction.py:632(create_series_with_explicit_dtype)
     1708    0.002    0.000    0.006    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:140(__set__)
        7    0.000    0.000    0.006    0.001 C:\Python39\lib\site-packages\openpyxl\worksheet\worksheet.py:100(_setup)
     7898    0.006    0.000    0.006    0.000 {method '__exit__' of '_thread.RLock' objects}
      626    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFD8E815C60}
      311    0.001    0.000    0.005    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:573(is_string_dtype)
     5608    0.004    0.000    0.005    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
      196    0.002    0.000    0.005    0.000 C:\Python39\lib\zipfile.py:787(__init__)
      140    0.000    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\dimensions.py:294(boundaries)
      147    0.002    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\_reader.py:87(__init__)
2296/1722    0.001    0.000    0.005    0.000 {built-in method builtins.hash}
      147    0.001    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\packaging\relationship.py:110(get_rels_path)
      140    0.002    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\utils\cell.py:126(range_boundaries)
      380    0.002    0.000    0.005    0.000 C:\Python39\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
    33/26    0.000    0.000    0.005    0.000 C:\Python39\lib\copy.py:66(copy)
      364    0.002    0.000    0.005    0.000 C:\Python39\lib\site-packages\openpyxl\styles\cell_style.py:126(to_array)
      356    0.001    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:1551(_is_dtype)
       14    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\serialisable.py:231(__copy__)
        7    0.000    0.000    0.004    0.001 C:\Python39\lib\site-packages\openpyxl\workbook\workbook.py:340(add_named_style)
       21    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\compat\_optional.py:60(import_optional_dependency)
      742    0.003    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
       14    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\header_footer.py:231(__init__)
      208    0.001    0.000    0.004    0.000 {built-in method builtins.any}
       35    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\indexes\base.py:4393(equals)
        7    0.001    0.000    0.004    0.001 C:\Python39\lib\site-packages\openpyxl\styles\stylesheet.py:154(_normalise_numbers)
       14    0.004    0.000    0.004    0.000 {built-in method io.open}
      419    0.001    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:537(is_categorical_dtype)
      345    0.001    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:463(is_period_dtype)
      150    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:602(condition)
       84    0.000    0.000    0.004    0.000 C:\Python39\lib\site-packages\openpyxl\worksheet\header_footer.py:146(__init__)
       90    0.001    0.000    0.004    0.000 C:\Python39\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
      154    0.003    0.000    0.003    0.000 C:\Python39\lib\xml\etree\ElementTree.py:1283(__init__)
     1722    0.003    0.000    0.003    0.000 C:\Python39\lib\site-packages\openpyxl\descriptors\base.py:126(__set__)
       80    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:605(is_excluded_dtype)
        7    0.000    0.000    0.003    0.000 C:\Python39\lib\site-packages\openpyxl\reader\excel.py:170(read_properties)
      324    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\dtypes\common.py:499(is_interval_dtype)
       60    0.001    0.000    0.003    0.000 C:\Python39\lib\site-packages\pandas\core\internals\concat.py:451(_select_upcast_cls_from_dtype)
